month,category,total_sales,total_profit,order_count
2019-01-01,Furniture,7696.683,332.2275000000002,18
2019-01-01,Office Supplies,5299.682,1604.4712000000002,32
2019-01-01,Technology,5620.066,916.3914000000001,16
2019-02-01,Furniture,3925.5510000000004,377.0352000000001,17
2019-02-01,Office Supplies,7794.3499999999985,1330.0008999999993,31
2019-02-01,Technology,8258.913999999999,3297.5434,13
2019-03-01,Furniture,12801.091999999999,-555.268,38
2019-03-01,Office Supplies,17346.930999999997,1061.4055999999998,57
2019-03-01,Technology,21567.851999999995,3105.8304,31
2019-04-01,Furniture,13212.089999999998,364.83339999999987,33
2019-04-01,Office Supplies,10647.446999999993,-1100.4820999999997,66
2019-04-01,Technology,14890.501999999997,3713.4636000000005,21
2019-05-01,Furniture,15119.835000000001,1824.4739000000004,38
2019-05-01,Office Supplies,13035.201999999997,2397.5024000000003,84
2019-05-01,Technology,22832.691000000003,4440.170100000001,32
2019-06-01,Furniture,13070.571999999998,-106.26650000000018,30
2019-06-01,Office Supplies,10901.809999999996,2467.4893999999986,67
2019-06-01,Technology,16372.152,2389.1552,30
2019-07-01,Furniture,13068.519,1038.9072999999999,29
2019-07-01,Office Supplies,12924.443999999998,1123.9602,75
2019-07-01,Technology,13269.000000000002,2270.0103999999997,28
2019-08-01,Furniture,12483.232300000001,-494.1456999999999,27
2019-08-01,Office Supplies,8959.740000000002,1629.1912999999995,67
2019-08-01,Technology,9672.401999999996,927.0237000000002,31
2019-09-01,Furniture,27262.8809,702.6025000000001,69
2019-09-01,Office Supplies,23263.738000000012,3714.0416999999984,146
2019-09-01,Technology,22883.406,4912.013400000001,47
2019-10-01,Furniture,11872.577,-144.65999999999988,43
2019-10-01,Office Supplies,16281.793999999996,4680.054999999997,69
2019-10-01,Technology,14533.374,11707.747500000001,26
2019-11-01,Furniture,31783.628799999995,819.8088000000001,65
2019-11-01,Office Supplies,20487.27799999999,4686.925,124
2019-11-01,Technology,27141.05899999999,-1495.3263000000002,68
2019-12-01,Furniture,32978.71499999999,2828.671500000001,69
2019-12-01,Office Supplies,27997.566,11466.668599999995,128
2019-12-01,Technology,17422.76199999999,3589.9692,46
2020-01-01,Furniture,7245.031999999998,-39.440199999999976,21
2020-01-01,Office Supplies,29531.288999999993,3260.4466999999986,54
2020-01-01,Technology,17987.053000000004,3919.4326,25
2020-02-01,Furniture,9210.3374,-199.0421,21
2020-02-01,Office Supplies,29500.771999999986,953.8253,42
2020-02-01,Technology,13357.024000000001,859.0887999999999,20
2020-03-01,Furniture,12990.444800000001,1000.8531999999999,31
2020-03-01,Office Supplies,25991.286,2715.9623999999994,87
2020-03-01,Technology,25247.622000000003,11035.075900000002,44
2020-04-01,Furniture,11417.9581,202.46240000000003,37
2020-04-01,Office Supplies,25746.19099999999,3370.6014999999984,89
2020-04-01,Technology,13643.387,-2639.7739,25
2020-05-01,Furniture,22802.558199999992,-72.8828999999997,44
2020-05-01,Office Supplies,27304.96399999999,3153.725999999999,91
2020-05-01,Technology,16642.588,3261.739699999999,38
2020-06-01,Furniture,21387.586699999993,904.9956000000004,43
2020-06-01,Office Supplies,28746.038999999997,3378.9821,103
2020-06-01,Technology,19109.1,3939.3579999999997,38
2020-07-01,Furniture,14245.021999999997,324.62439999999987,45
2020-07-01,Office Supplies,20224.467999999997,2563.2844999999998,75
2020-07-01,Technology,25607.926,4064.7123,43
2020-08-01,Furniture,17523.873999999996,322.2390000000001,30
2020-08-01,Office Supplies,40390.852000000006,6067.858200000001,89
2020-08-01,Technology,19424.161999999997,2650.8584999999994,32
2020-09-01,Furniture,33405.206,1548.6836999999998,67
2020-09-01,Office Supplies,54981.84300000002,4847.743799999997,179
2020-09-01,Technology,31416.602999999992,4595.1281,72
2020-10-01,Furniture,25802.0682,-2526.9203,56
2020-10-01,Office Supplies,37346.191999999995,4040.7751000000007,112
2020-10-01,Technology,25748.66300000001,7761.420700000001,47
2020-11-01,Furniture,39354.71499999999,406.0636999999999,85
2020-11-01,Office Supplies,50028.336999999985,3609.1028999999985,180
2020-11-01,Technology,41577.772999999994,5674.9371,79
2020-12-01,Furniture,40848.46679999999,1146.7548000000002,84
2020-12-01,Office Supplies,98975.47200000002,1773.7083999999998,172
2020-12-01,Technology,26361.910000000003,5562.2788,63
